request_id,latency_ms
1,678.2803535461426
2,848.81591796875
3,316.7741298675537
4,346.71568870544434
5,365.8862113952637
6,326.7025947570801
7,430.3600788116455
8,309.2057704925537
9,380.2485466003418
10,297.7254390716553
11,844.4809913635254
12,356.229305267334
13,393.146276473999
14,353.30700874328613
15,381.52146339416504
16,293.48134994506836
17,347.89443016052246
18,385.26034355163574
19,388.25345039367676
20,332.6752185821533
21,329.6825885772705
22,380.4764747619629
23,333.07957649230957
24,392.44627952575684
25,399.6870517730713
26,314.5413398742676
27,415.9586429595947
28,331.73489570617676
29,379.2567253112793
30,316.18785858154297
31,404.4196605682373
32,365.64159393310547
33,350.38256645202637
34,311.6159439086914
35,328.2899856567383
36,420.1798439025879
37,380.24044036865234
38,307.65295028686523
39,389.6799087524414
40,331.22801780700684
41,329.77843284606934
42,379.7345161437988
43,332.8583240509033
44,382.39073753356934
45,338.5624885559082
46,393.2986259460449
47,418.3039665222168
48,328.03869247436523
49,377.943754196167
50,354.2051315307617
