request_id,latency_ms
1,557.135820388794
2,403.3231735229492
3,437.2255802154541
4,323.1244087219238
5,385.3261470794678
6,310.7116222381592
7,374.74513053894043
8,303.3788204193115
9,300.37975311279297
10,314.77856636047363
11,292.8881645202637
12,311.5999698638916
13,324.42665100097656
14,331.87031745910645
15,309.01598930358887
16,487.26677894592285
17,309.675931930542
18,366.17016792297363
19,310.37163734436035
20,339.3418788909912
21,296.3590621948242
22,311.43784523010254
23,309.83543395996094
24,312.014102935791
25,291.2793159484863
26,324.4192600250244
27,307.7707290649414
28,301.24759674072266
29,314.4702911376953
30,311.3391399383545
31,316.5545463562012
32,317.5079822540283
33,298.8274097442627
34,324.5682716369629
35,313.1144046783447
36,314.5606517791748
37,424.1936206817627
38,350.43978691101074
39,358.2923412322998
40,315.54174423217773
41,341.26806259155273
42,294.24381256103516
43,330.8086395263672
44,313.1866455078125
45,303.83896827697754
46,336.0745906829834
47,290.1878356933594
48,304.63147163391113
49,327.32653617858887
50,303.2817840576172
